trial_number, time, schedule_type, schedule_name, is_biased_choice, side_choice, RT, observed_reward, unobserved_reward, biased_reward, unbiased_reward
0,2019-01-24 10:04:08am, dynamic, 1_6_vs_2_6, true, RIGHT, 2066, 1, 0, 1, 0
1,2019-01-24 10:04:11am, dynamic, 1_6_vs_2_6, true, RIGHT, 3016, 0, 0, 0, 0
2,2019-01-24 10:04:14am, dynamic, 1_6_vs_2_6, false, LEFT, 2400, 0, 0, 0, 0
3,2019-01-24 10:04:16am, dynamic, 1_6_vs_2_6, false, LEFT, 2408, 0, 0, 0, 0
4,2019-01-24 10:04:18am, dynamic, 1_6_vs_2_6, true, RIGHT, 2272, 0, 0, 0, 0
5,2019-01-24 10:04:21am, dynamic, 1_6_vs_2_6, true, RIGHT, 2352, 1, 0, 1, 0
6,2019-01-24 10:04:23am, dynamic, 1_6_vs_2_6, true, RIGHT, 2383, 1, 0, 1, 0
7,2019-01-24 10:04:26am, dynamic, 1_6_vs_2_6, true, RIGHT, 2369, 0, 0, 0, 0
8,2019-01-24 10:04:28am, dynamic, 1_6_vs_2_6, false, LEFT, 2296, 0, 1, 1, 0
9,2019-01-24 10:04:30am, dynamic, 1_6_vs_2_6, true, RIGHT, 2320, 0, 1, 0, 1
10,2019-01-24 10:04:32am, dynamic, 1_6_vs_2_6, true, RIGHT, 2279, 0, 0, 0, 0
11,2019-01-24 10:04:35am, dynamic, 1_6_vs_2_6, false, LEFT, 2465, 0, 1, 1, 0
12,2019-01-24 10:04:38am, dynamic, 1_6_vs_2_6, true, RIGHT, 2223, 1, 0, 1, 0
13,2019-01-24 10:04:40am, dynamic, 1_6_vs_2_6, true, RIGHT, 2649, 0, 0, 0, 0
14,2019-01-24 10:04:42am, dynamic, 1_6_vs_2_6, true, RIGHT, 2368, 1, 1, 1, 1
15,2019-01-24 10:04:45am, dynamic, 1_6_vs_2_6, true, RIGHT, 2448, 1, 0, 1, 0
16,2019-01-24 10:04:47am, dynamic, 1_6_vs_2_6, true, RIGHT, 2280, 1, 0, 1, 0
17,2019-01-24 10:04:49am, dynamic, 1_6_vs_2_6, true, RIGHT, 2512, 1, 0, 1, 0
18,2019-01-24 10:04:52am, dynamic, 1_6_vs_2_6, true, RIGHT, 2280, 0, 1, 0, 1
19,2019-01-24 10:04:54am, dynamic, 1_6_vs_2_6, true, RIGHT, 2319, 0, 0, 0, 0
20,2019-01-24 10:04:57am, dynamic, 1_6_vs_2_6, false, LEFT, 2233, 0, 1, 1, 0
21,2019-01-24 10:04:58am, dynamic, 1_6_vs_2_6, false, LEFT, 2256, 0, 0, 0, 0
22,2019-01-24 10:05:01am, dynamic, 1_6_vs_2_6, true, RIGHT, 2344, 0, 1, 0, 1
23,2019-01-24 10:05:03am, dynamic, 1_6_vs_2_6, false, LEFT, 2264, 0, 0, 0, 0
24,2019-01-24 10:05:06am, dynamic, 1_6_vs_2_6, true, RIGHT, 2328, 0, 0, 0, 0
25,2019-01-24 10:05:08am, dynamic, 1_6_vs_2_6, false, LEFT, 2424, 0, 1, 1, 0
26,2019-01-24 10:05:10am, dynamic, 1_6_vs_2_6, true, RIGHT, 2248, 0, 0, 0, 0
27,2019-01-24 10:05:12am, dynamic, 1_6_vs_2_6, true, RIGHT, 2264, 0, 0, 0, 0
28,2019-01-24 10:05:15am, dynamic, 1_6_vs_2_6, false, LEFT, 2244, 0, 1, 1, 0
29,2019-01-24 10:05:17am, dynamic, 1_6_vs_2_6, false, LEFT, 2580, 1, 1, 1, 1
30,2019-01-24 10:05:20am, dynamic, 1_6_vs_2_6, false, LEFT, 2448, 0, 0, 0, 0
31,2019-01-24 10:05:22am, dynamic, 1_6_vs_2_6, true, RIGHT, 2313, 1, 1, 1, 1
32,2019-01-24 10:05:24am, dynamic, 1_6_vs_2_6, true, RIGHT, 2439, 1, 0, 1, 0
33,2019-01-24 10:05:27am, dynamic, 1_6_vs_2_6, true, RIGHT, 2361, 0, 1, 0, 1
34,2019-01-24 10:05:30am, dynamic, 1_6_vs_2_6, false, LEFT, 2974, 0, 0, 0, 0
35,2019-01-24 10:05:32am, dynamic, 1_6_vs_2_6, false, LEFT, 2457, 0, 1, 1, 0
36,2019-01-24 10:05:35am, dynamic, 1_6_vs_2_6, true, RIGHT, 2477, 1, 0, 1, 0
37,2019-01-24 10:05:37am, dynamic, 1_6_vs_2_6, true, RIGHT, 2540, 1, 0, 1, 0
38,2019-01-24 10:05:40am, dynamic, 1_6_vs_2_6, true, RIGHT, 3023, 0, 0, 0, 0
39,2019-01-24 10:05:43am, dynamic, 1_6_vs_2_6, true, RIGHT, 2521, 0, 0, 0, 0
40,2019-01-24 10:05:45am, dynamic, 1_6_vs_2_6, false, LEFT, 2430, 0, 0, 0, 0
41,2019-01-24 10:05:48am, dynamic, 1_6_vs_2_6, true, RIGHT, 2408, 0, 0, 0, 0
42,2019-01-24 10:05:50am, dynamic, 1_6_vs_2_6, false, LEFT, 2265, 0, 0, 0, 0
43,2019-01-24 10:05:52am, dynamic, 1_6_vs_2_6, false, LEFT, 2360, 0, 0, 0, 0
44,2019-01-24 10:05:54am, dynamic, 1_6_vs_2_6, true, RIGHT, 2248, 0, 1, 0, 1
45,2019-01-24 10:05:57am, dynamic, 1_6_vs_2_6, true, RIGHT, 2216, 0, 1, 0, 1
46,2019-01-24 10:05:59am, dynamic, 1_6_vs_2_6, false, LEFT, 2217, 0, 0, 0, 0
47,2019-01-24 10:06:01am, dynamic, 1_6_vs_2_6, true, RIGHT, 2239, 1, 0, 1, 0
48,2019-01-24 10:06:03am, dynamic, 1_6_vs_2_6, true, RIGHT, 2271, 1, 0, 1, 0
49,2019-01-24 10:06:06am, dynamic, 1_6_vs_2_6, true, RIGHT, 2425, 1, 0, 1, 0
50,2019-01-24 10:06:08am, dynamic, 1_6_vs_2_6, true, RIGHT, 2672, 0, 1, 0, 1
51,2019-01-24 10:06:11am, dynamic, 1_6_vs_2_6, false, LEFT, 2376, 0, 0, 0, 0
52,2019-01-24 10:06:13am, dynamic, 1_6_vs_2_6, false, LEFT, 2400, 0, 1, 1, 0
53,2019-01-24 10:06:15am, dynamic, 1_6_vs_2_6, true, RIGHT, 2232, 0, 0, 0, 0
54,2019-01-24 10:06:18am, dynamic, 1_6_vs_2_6, false, LEFT, 2680, 1, 0, 0, 1
55,2019-01-24 10:06:21am, dynamic, 1_6_vs_2_6, false, LEFT, 2551, 0, 0, 0, 0
56,2019-01-24 10:06:23am, dynamic, 1_6_vs_2_6, false, LEFT, 2721, 0, 0, 0, 0
57,2019-01-24 10:06:26am, dynamic, 1_6_vs_2_6, true, RIGHT, 2424, 0, 0, 0, 0
58,2019-01-24 10:06:28am, dynamic, 1_6_vs_2_6, true, RIGHT, 2247, 1, 0, 1, 0
59,2019-01-24 10:06:30am, dynamic, 1_6_vs_2_6, true, RIGHT, 2328, 0, 0, 0, 0
60,2019-01-24 10:06:33am, dynamic, 1_6_vs_2_6, true, RIGHT, 2441, 1, 0, 1, 0
